ActivityHour,StepTotal
3/2/2023 7:00:00 AM,2369
3/2/2023 8:00:00 AM,1162
3/2/2023 9:00:00 AM,672
3/2/2023 10:00:00 AM,91
3/2/2023 11:00:00 AM,465
3/2/2023 12:00:00 PM,19
3/2/2023 1:00:00 PM,637
3/2/2023 2:00:00 PM,1255
3/2/2023 3:00:00 PM,444
3/2/2023 4:00:00 PM,518
3/2/2023 5:00:00 PM,1431
3/2/2023 6:00:00 PM,3788
3/2/2023 7:00:00 PM,321
3/2/2023 8:00:00 PM,448
3/2/2023 9:00:00 PM,0
3/2/2023 10:00:00 PM,157
3/2/2023 11:00:00 PM,602
3/3/2023 12:00:00 AM,929
3/3/2023 1:00:00 AM,0
3/3/2023 2:00:00 AM,2580
3/3/2023 3:00:00 AM,520
3/3/2023 4:00:00 AM,594
3/3/2023 5:00:00 AM,453
3/3/2023 6:00:00 AM,2108
3/3/2023 7:00:00 AM,742
3/3/2023 8:00:00 AM,2160
3/3/2023 9:00:00 AM,287
3/3/2023 10:00:00 AM,331
3/3/2023 11:00:00 AM,71
3/3/2023 12:00:00 PM,2630
3/3/2023 1:00:00 PM,29
3/3/2023 2:00:00 PM,3118
3/3/2023 3:00:00 PM,633
3/3/2023 4:00:00 PM,361
3/3/2023 5:00:00 PM,1846
3/3/2023 6:00:00 PM,2167
3/3/2023 7:00:00 PM,526
3/3/2023 8:00:00 PM,8
3/3/2023 9:00:00 PM,0
3/3/2023 10:00:00 PM,20
3/3/2023 11:00:00 PM,0
3/4/2023 12:00:00 AM,0
3/4/2023 1:00:00 AM,12
3/4/2023 2:00:00 AM,0
3/4/2023 3:00:00 AM,11
3/4/2023 4:00:00 AM,0
3/4/2023 5:00:00 AM,130
3/4/2023 6:00:00 AM,1705
3/4/2023 7:00:00 AM,2033
3/4/2023 8:00:00 AM,1271
3/4/2023 9:00:00 AM,164
3/4/2023 10:00:00 AM,407
3/4/2023 11:00:00 AM,727
3/4/2023 12:00:00 PM,1614
3/4/2023 1:00:00 PM,1817
3/4/2023 2:00:00 PM,322
3/4/2023 3:00:00 PM,323
3/4/2023 4:00:00 PM,0
3/4/2023 5:00:00 PM,0
3/4/2023 6:00:00 PM,101
3/4/2023 7:00:00 PM,1616
3/4/2023 8:00:00 PM,1509
3/4/2023 9:00:00 PM,314
3/4/2023 10:00:00 PM,111
3/4/2023 11:00:00 PM,180
3/5/2023 12:00:00 AM,90
3/5/2023 1:00:00 AM,68
3/5/2023 2:00:00 AM,276
3/5/2023 3:00:00 AM,0
3/5/2023 4:00:00 AM,0
3/5/2023 5:00:00 AM,0
3/5/2023 6:00:00 AM,1226
3/5/2023 7:00:00 AM,1896
3/5/2023 8:00:00 AM,968
3/5/2023 9:00:00 AM,624
3/5/2023 10:00:00 AM,50
3/5/2023 11:00:00 AM,782
3/5/2023 12:00:00 PM,154
3/5/2023 1:00:00 PM,769
3/5/2023 2:00:00 PM,198
3/5/2023 3:00:00 PM,0
3/5/2023 4:00:00 PM,0
3/5/2023 5:00:00 PM,178
3/5/2023 6:00:00 PM,1213
3/5/2023 7:00:00 PM,658
3/5/2023 8:00:00 PM,376
3/5/2023 9:00:00 PM,751
3/5/2023 10:00:00 PM,4
3/5/2023 11:00:00 PM,0
3/6/2023 12:00:00 AM,18
3/6/2023 1:00:00 AM,47
3/6/2023 2:00:00 AM,0
3/6/2023 3:00:00 AM,0
3/6/2023 4:00:00 AM,0
