ActivityHour,TotalIntensity,AverageIntensity
2/23/2023 12:00:00 AM,0,0
2/23/2023 1:00:00 AM,0,0
2/23/2023 2:00:00 AM,0,0
2/23/2023 3:00:00 AM,0,0
2/23/2023 4:00:00 AM,0,0
2/23/2023 5:00:00 AM,0,0
2/23/2023 6:00:00 AM,0,0
2/23/2023 7:00:00 AM,0,0
2/23/2023 8:00:00 AM,0,0
2/23/2023 9:00:00 AM,0,0
2/23/2023 10:00:00 AM,98,1.633333
2/23/2023 11:00:00 AM,128,2.133333
2/23/2023 12:00:00 PM,107,1.783333
2/23/2023 1:00:00 PM,24,0.4
2/23/2023 2:00:00 PM,9,0.15
2/23/2023 3:00:00 PM,4,0.066667
2/23/2023 4:00:00 PM,0,0
2/23/2023 5:00:00 PM,15,0.25
2/23/2023 6:00:00 PM,14,0.233333
2/23/2023 7:00:00 PM,13,0.216667
2/23/2023 8:00:00 PM,35,0.583333
2/23/2023 9:00:00 PM,12,0.2
2/23/2023 10:00:00 PM,11,0.183333
2/23/2023 11:00:00 PM,8,0.133333
2/24/2023 12:00:00 AM,12,0.2
2/24/2023 1:00:00 AM,1,0.016667
2/24/2023 2:00:00 AM,0,0
2/24/2023 3:00:00 AM,0,0
2/24/2023 4:00:00 AM,5,0.083333
2/24/2023 5:00:00 AM,0,0
2/24/2023 6:00:00 AM,1,0.016667
2/24/2023 7:00:00 AM,0,0
2/24/2023 8:00:00 AM,0,0
2/24/2023 9:00:00 AM,0,0
2/24/2023 10:00:00 AM,26,0.433333
2/24/2023 11:00:00 AM,32,0.533333
2/24/2023 12:00:00 PM,19,0.316667
2/24/2023 1:00:00 PM,8,0.133333
2/24/2023 2:00:00 PM,2,0.033333
2/24/2023 3:00:00 PM,20,0.333333
2/24/2023 4:00:00 PM,129,2.15
2/24/2023 5:00:00 PM,87,1.45
2/24/2023 6:00:00 PM,43,0.716667
2/24/2023 7:00:00 PM,14,0.233333
2/24/2023 8:00:00 PM,14,0.233333
2/24/2023 9:00:00 PM,19,0.316667
