DateTime,SyncDateUTC,Provider,DeviceName
7/7/2023 3:31:30 PM,7/7/2023 3:31:30 PM,Fitbit,Inspire 2
7/7/2023 4:32:25 PM,7/7/2023 4:32:25 PM,Fitbit,Inspire 2
7/7/2023 4:48:24 PM,7/7/2023 4:48:24 PM,Fitbit,Inspire 2
7/7/2023 5:16:22 PM,7/7/2023 5:16:22 PM,Fitbit,Inspire 2
7/7/2023 5:33:18 PM,7/7/2023 5:33:18 PM,Fitbit,Inspire 2
7/7/2023 6:22:20 PM,7/7/2023 6:22:20 PM,Fitbit,Inspire 2
7/7/2023 7:25:11 PM,7/7/2023 7:25:11 PM,Fitbit,Inspire 2
7/7/2023 8:33:19 PM,7/7/2023 8:33:19 PM,Fitbit,Inspire 2
7/7/2023 9:26:01 PM,7/7/2023 9:26:01 PM,Fitbit,Inspire 2
7/7/2023 10:33:12 PM,7/7/2023 10:33:12 PM,Fitbit,Inspire 2
7/7/2023 10:49:12 PM,7/7/2023 10:49:12 PM,Fitbit,Inspire 2
7/7/2023 11:33:21 PM,7/7/2023 11:33:21 PM,Fitbit,Inspire 2
7/8/2023 12:35:07 AM,7/8/2023 12:35:07 AM,Fitbit,Inspire 2
7/8/2023 12:51:06 AM,7/8/2023 12:51:06 AM,Fitbit,Inspire 2
7/8/2023 1:07:07 AM,7/8/2023 1:07:07 AM,Fitbit,Inspire 2
7/8/2023 1:27:06 AM,7/8/2023 1:27:06 AM,Fitbit,Inspire 2
7/8/2023 1:43:06 AM,7/8/2023 1:43:06 AM,Fitbit,Inspire 2
7/8/2023 1:59:06 AM,7/8/2023 1:59:06 AM,Fitbit,Inspire 2
7/8/2023 2:21:09 AM,7/8/2023 2:21:09 AM,Fitbit,Inspire 2
7/8/2023 2:41:18 AM,7/8/2023 2:41:18 AM,Fitbit,Inspire 2
7/8/2023 2:57:17 AM,7/8/2023 2:57:17 AM,Fitbit,Inspire 2
7/8/2023 3:14:18 AM,7/8/2023 3:14:18 AM,Fitbit,Inspire 2
7/8/2023 3:30:17 AM,7/8/2023 3:30:17 AM,Fitbit,Inspire 2
7/8/2023 3:47:18 AM,7/8/2023 3:47:18 AM,Fitbit,Inspire 2
7/8/2023 4:03:18 AM,7/8/2023 4:03:18 AM,Fitbit,Inspire 2
7/8/2023 4:19:18 AM,7/8/2023 4:19:18 AM,Fitbit,Inspire 2
7/8/2023 4:35:18 AM,7/8/2023 4:35:18 AM,Fitbit,Inspire 2
