ActivityHour,Calories
2/24/2022 12:00:00 AM,64
2/24/2022 1:00:00 AM,64
2/24/2022 2:00:00 AM,64
2/24/2022 3:00:00 AM,64
2/24/2022 4:00:00 AM,64
2/24/2022 5:00:00 AM,64
2/24/2022 6:00:00 AM,64
2/24/2022 7:00:00 AM,64
2/24/2022 8:00:00 AM,64
2/24/2022 9:00:00 AM,64
2/24/2022 10:00:00 AM,64
2/24/2022 11:00:00 AM,64
2/24/2022 12:00:00 PM,64
2/24/2022 1:00:00 PM,64
2/24/2022 2:00:00 PM,64
2/24/2022 3:00:00 PM,64
2/24/2022 4:00:00 PM,64
2/24/2022 5:00:00 PM,64
2/24/2022 6:00:00 PM,64
2/24/2022 7:00:00 PM,64
2/24/2022 8:00:00 PM,64
2/24/2022 9:00:00 PM,64
2/24/2022 10:00:00 PM,64
2/24/2022 11:00:00 PM,64
2/25/2022 12:00:00 AM,64
2/25/2022 1:00:00 AM,64
2/25/2022 2:00:00 AM,64
2/25/2022 3:00:00 AM,64
2/25/2022 4:00:00 AM,64
2/25/2022 5:00:00 AM,64
2/25/2022 6:00:00 AM,64
2/25/2022 7:00:00 AM,64
2/25/2022 8:00:00 AM,64
2/25/2022 9:00:00 AM,64
2/25/2022 10:00:00 AM,64
2/25/2022 11:00:00 AM,64
2/25/2022 12:00:00 PM,64
2/25/2022 1:00:00 PM,64
2/25/2022 2:00:00 PM,64
2/25/2022 3:00:00 PM,64
2/25/2022 4:00:00 PM,64
2/25/2022 5:00:00 PM,167
2/25/2022 6:00:00 PM,136
2/25/2022 7:00:00 PM,172
2/25/2022 8:00:00 PM,174
2/25/2022 9:00:00 PM,204
2/25/2022 10:00:00 PM,91
2/25/2022 11:00:00 PM,68
2/26/2022 12:00:00 AM,69
2/26/2022 1:00:00 AM,66
2/26/2022 2:00:00 AM,73
2/26/2022 3:00:00 AM,140
2/26/2022 4:00:00 AM,120
2/26/2022 5:00:00 AM,102
2/26/2022 6:00:00 AM,77
2/26/2022 7:00:00 AM,169
2/26/2022 8:00:00 AM,261
2/26/2022 9:00:00 AM,234
2/26/2022 10:00:00 AM,260
2/26/2022 11:00:00 AM,82
2/26/2022 12:00:00 PM,78
2/26/2022 1:00:00 PM,72
2/26/2022 2:00:00 PM,88
2/26/2022 3:00:00 PM,104
2/26/2022 4:00:00 PM,156
2/26/2022 5:00:00 PM,131
2/26/2022 6:00:00 PM,93
2/26/2022 7:00:00 PM,202
2/26/2022 8:00:00 PM,173
2/26/2022 9:00:00 PM,143
2/26/2022 10:00:00 PM,161
2/26/2022 11:00:00 PM,116
2/27/2022 12:00:00 AM,64
2/27/2022 1:00:00 AM,64
2/27/2022 2:00:00 AM,67
2/27/2022 3:00:00 AM,79
2/27/2022 4:00:00 AM,65
2/27/2022 5:00:00 AM,64
2/27/2022 6:00:00 AM,71
2/27/2022 7:00:00 AM,68
2/27/2022 8:00:00 AM,65
2/27/2022 9:00:00 AM,135
2/27/2022 10:00:00 AM,88
2/27/2022 11:00:00 AM,64
2/27/2022 12:00:00 PM,73
2/27/2022 1:00:00 PM,82
2/27/2022 2:00:00 PM,92
2/27/2022 3:00:00 PM,98
2/27/2022 4:00:00 PM,122
2/27/2022 5:00:00 PM,134
2/27/2022 6:00:00 PM,259
2/27/2022 7:00:00 PM,75
2/27/2022 8:00:00 PM,126
2/27/2022 9:00:00 PM,111
2/27/2022 10:00:00 PM,100
2/27/2022 11:00:00 PM,71
2/28/2022 12:00:00 AM,64
2/28/2022 1:00:00 AM,64
2/28/2022 2:00:00 AM,64
2/28/2022 3:00:00 AM,64
2/28/2022 4:00:00 AM,64
2/28/2022 5:00:00 AM,64
2/28/2022 6:00:00 AM,93
2/28/2022 7:00:00 AM,269
2/28/2022 8:00:00 AM,334
2/28/2022 9:00:00 AM,279
2/28/2022 10:00:00 AM,185
2/28/2022 11:00:00 AM,101
2/28/2022 12:00:00 PM,268
2/28/2022 1:00:00 PM,144
2/28/2022 2:00:00 PM,210
2/28/2022 3:00:00 PM,162
2/28/2022 4:00:00 PM,101
2/28/2022 5:00:00 PM,97
2/28/2022 6:00:00 PM,64
2/28/2022 7:00:00 PM,64
2/28/2022 8:00:00 PM,89
2/28/2022 9:00:00 PM,152
2/28/2022 10:00:00 PM,64
2/28/2022 11:00:00 PM,64
3/1/2022 12:00:00 AM,64
3/1/2022 1:00:00 AM,64
3/1/2022 2:00:00 AM,64
3/1/2022 3:00:00 AM,64
3/1/2022 4:00:00 AM,64
3/1/2022 5:00:00 AM,64
3/1/2022 6:00:00 AM,64
3/1/2022 7:00:00 AM,186
3/1/2022 8:00:00 AM,297
3/1/2022 9:00:00 AM,198
3/1/2022 10:00:00 AM,207
3/1/2022 11:00:00 AM,118
3/1/2022 12:00:00 PM,115
3/1/2022 1:00:00 PM,102
3/1/2022 2:00:00 PM,83
3/1/2022 3:00:00 PM,151
3/1/2022 4:00:00 PM,267
3/1/2022 5:00:00 PM,150
3/1/2022 6:00:00 PM,136
3/1/2022 7:00:00 PM,95
3/1/2022 8:00:00 PM,90
3/1/2022 9:00:00 PM,76
3/1/2022 10:00:00 PM,113
3/1/2022 11:00:00 PM,65
3/2/2022 12:00:00 AM,64
3/2/2022 1:00:00 AM,65
3/2/2022 2:00:00 AM,64
3/2/2022 3:00:00 AM,71
3/2/2022 4:00:00 AM,68
3/2/2022 5:00:00 AM,64
3/2/2022 6:00:00 AM,85
3/2/2022 7:00:00 AM,198
3/2/2022 8:00:00 AM,311
3/2/2022 9:00:00 AM,262
3/2/2022 10:00:00 AM,206
3/2/2022 11:00:00 AM,147
3/2/2022 12:00:00 PM,136
3/2/2022 1:00:00 PM,138
3/2/2022 2:00:00 PM,134
3/2/2022 3:00:00 PM,84
3/2/2022 4:00:00 PM,101
3/2/2022 5:00:00 PM,435
3/2/2022 6:00:00 PM,207
3/2/2022 7:00:00 PM,164
3/2/2022 8:00:00 PM,101
3/2/2022 9:00:00 PM,86
3/2/2022 10:00:00 PM,134
3/2/2022 11:00:00 PM,69
3/3/2022 12:00:00 AM,66
3/3/2022 1:00:00 AM,64
3/3/2022 2:00:00 AM,83
3/3/2022 3:00:00 AM,64
3/3/2022 4:00:00 AM,65
3/3/2022 5:00:00 AM,65
3/3/2022 6:00:00 AM,84
3/3/2022 7:00:00 AM,64
3/3/2022 8:00:00 AM,110
3/3/2022 9:00:00 AM,137
3/3/2022 10:00:00 AM,118
3/3/2022 11:00:00 AM,79
3/3/2022 12:00:00 PM,99
3/3/2022 1:00:00 PM,79
3/3/2022 2:00:00 PM,73
3/3/2022 3:00:00 PM,131
3/3/2022 4:00:00 PM,185
3/3/2022 5:00:00 PM,204
3/3/2022 6:00:00 PM,157
3/3/2022 7:00:00 PM,86
3/3/2022 8:00:00 PM,134
3/3/2022 9:00:00 PM,149
3/3/2022 10:00:00 PM,70
3/3/2022 11:00:00 PM,64
3/4/2022 12:00:00 AM,70
3/4/2022 1:00:00 AM,311
3/4/2022 2:00:00 AM,64
3/4/2022 3:00:00 AM,66
3/4/2022 4:00:00 AM,64
3/4/2022 5:00:00 AM,64
3/4/2022 6:00:00 AM,78
3/4/2022 7:00:00 AM,210
3/4/2022 8:00:00 AM,206
3/4/2022 9:00:00 AM,195
3/4/2022 10:00:00 AM,150
3/4/2022 11:00:00 AM,181
3/4/2022 12:00:00 PM,244
3/4/2022 1:00:00 PM,123
3/4/2022 2:00:00 PM,72
3/4/2022 3:00:00 PM,91
3/4/2022 4:00:00 PM,80
3/4/2022 5:00:00 PM,320
3/4/2022 6:00:00 PM,168
3/4/2022 7:00:00 PM,79
3/4/2022 8:00:00 PM,85
3/4/2022 9:00:00 PM,100
3/4/2022 10:00:00 PM,68
3/4/2022 11:00:00 PM,72
3/5/2022 12:00:00 AM,64
3/5/2022 1:00:00 AM,64
3/5/2022 2:00:00 AM,64
3/5/2022 3:00:00 AM,64
3/5/2022 4:00:00 AM,64
3/5/2022 5:00:00 AM,64
3/5/2022 6:00:00 AM,110
3/5/2022 7:00:00 AM,223
3/5/2022 8:00:00 AM,293
3/5/2022 9:00:00 AM,257
3/5/2022 10:00:00 AM,208
3/5/2022 11:00:00 AM,207
3/5/2022 12:00:00 PM,99
3/5/2022 1:00:00 PM,96
3/5/2022 2:00:00 PM,73
3/5/2022 3:00:00 PM,67
3/5/2022 4:00:00 PM,65
3/5/2022 5:00:00 PM,73
3/5/2022 6:00:00 PM,171
3/5/2022 7:00:00 PM,119
3/5/2022 8:00:00 PM,110
3/5/2022 9:00:00 PM,91
3/5/2022 10:00:00 PM,167
3/5/2022 11:00:00 PM,126
3/6/2022 12:00:00 AM,84
3/6/2022 1:00:00 AM,66
3/6/2022 2:00:00 AM,64
3/6/2022 3:00:00 AM,66
3/6/2022 4:00:00 AM,84
3/6/2022 5:00:00 AM,66
3/6/2022 6:00:00 AM,65
3/6/2022 7:00:00 AM,65
3/6/2022 8:00:00 AM,112
3/6/2022 9:00:00 AM,67
3/6/2022 10:00:00 AM,234
3/6/2022 11:00:00 AM,88
3/6/2022 12:00:00 PM,89
3/6/2022 1:00:00 PM,129
3/6/2022 2:00:00 PM,84
3/6/2022 3:00:00 PM,78
3/6/2022 4:00:00 PM,98
3/6/2022 5:00:00 PM,90
3/6/2022 6:00:00 PM,85
3/6/2022 7:00:00 PM,170
3/6/2022 8:00:00 PM,145
3/6/2022 9:00:00 PM,77
3/6/2022 10:00:00 PM,86
3/6/2022 11:00:00 PM,64
3/7/2022 12:00:00 AM,64
3/7/2022 1:00:00 AM,64
3/7/2022 2:00:00 AM,64
3/7/2022 3:00:00 AM,82
3/7/2022 4:00:00 AM,129
3/7/2022 5:00:00 AM,64
3/7/2022 6:00:00 AM,92
3/7/2022 7:00:00 AM,127
3/7/2022 8:00:00 AM,316
3/7/2022 9:00:00 AM,249
3/7/2022 10:00:00 AM,137
3/7/2022 11:00:00 AM,95
3/7/2022 12:00:00 PM,290
3/7/2022 1:00:00 PM,244
3/7/2022 2:00:00 PM,217
3/7/2022 3:00:00 PM,88
3/7/2022 4:00:00 PM,64
3/7/2022 5:00:00 PM,249
3/7/2022 6:00:00 PM,429
3/7/2022 7:00:00 PM,186
3/7/2022 8:00:00 PM,95
3/7/2022 9:00:00 PM,194
3/7/2022 10:00:00 PM,111
3/7/2022 11:00:00 PM,72
3/8/2022 12:00:00 AM,100
3/8/2022 1:00:00 AM,65
3/8/2022 2:00:00 AM,64
3/8/2022 3:00:00 AM,64
3/8/2022 4:00:00 AM,64
3/8/2022 5:00:00 AM,64
3/8/2022 6:00:00 AM,112
3/8/2022 7:00:00 AM,213
3/8/2022 8:00:00 AM,225
3/8/2022 9:00:00 AM,119
3/8/2022 10:00:00 AM,215
3/8/2022 11:00:00 AM,82
3/8/2022 12:00:00 PM,74
3/8/2022 1:00:00 PM,66
3/8/2022 2:00:00 PM,73
3/8/2022 3:00:00 PM,125
3/8/2022 4:00:00 PM,193
3/8/2022 5:00:00 PM,119
3/8/2022 6:00:00 PM,159
3/8/2022 7:00:00 PM,101
3/8/2022 8:00:00 PM,97
3/8/2022 9:00:00 PM,102
3/8/2022 10:00:00 PM,109
3/8/2022 11:00:00 PM,83
3/9/2022 12:00:00 AM,109
3/9/2022 1:00:00 AM,66
3/9/2022 2:00:00 AM,64
3/9/2022 3:00:00 AM,66
3/9/2022 4:00:00 AM,75
3/9/2022 5:00:00 AM,64
3/9/2022 6:00:00 AM,81
3/9/2022 7:00:00 AM,212
3/9/2022 8:00:00 AM,286
3/9/2022 9:00:00 AM,224
3/9/2022 10:00:00 AM,253
3/9/2022 11:00:00 AM,190
3/9/2022 12:00:00 PM,230
3/9/2022 1:00:00 PM,132
3/9/2022 2:00:00 PM,186
3/9/2022 3:00:00 PM,97
3/9/2022 4:00:00 PM,91
3/9/2022 5:00:00 PM,185
3/9/2022 6:00:00 PM,165
3/9/2022 7:00:00 PM,173
3/9/2022 8:00:00 PM,97
3/9/2022 9:00:00 PM,188
3/9/2022 10:00:00 PM,121
3/9/2022 11:00:00 PM,75
3/10/2022 12:00:00 AM,64
3/10/2022 1:00:00 AM,64
3/10/2022 2:00:00 AM,73
3/10/2022 3:00:00 AM,64
3/10/2022 4:00:00 AM,64
3/10/2022 5:00:00 AM,65
3/10/2022 6:00:00 AM,87
3/10/2022 7:00:00 AM,112
3/10/2022 8:00:00 AM,229
3/10/2022 9:00:00 AM,150
3/10/2022 10:00:00 AM,86
3/10/2022 11:00:00 AM,211
3/10/2022 12:00:00 PM,199
3/10/2022 1:00:00 PM,170
3/10/2022 2:00:00 PM,160
3/10/2022 3:00:00 PM,181
3/10/2022 4:00:00 PM,193
3/10/2022 5:00:00 PM,184
3/10/2022 6:00:00 PM,168
3/10/2022 7:00:00 PM,186
3/10/2022 8:00:00 PM,85
3/10/2022 9:00:00 PM,141
3/10/2022 10:00:00 PM,69
3/10/2022 11:00:00 PM,81
3/11/2022 12:00:00 AM,64
3/11/2022 1:00:00 AM,64
3/11/2022 2:00:00 AM,64
3/11/2022 3:00:00 AM,64
3/11/2022 4:00:00 AM,64
3/11/2022 5:00:00 AM,64
3/11/2022 6:00:00 AM,67
3/11/2022 7:00:00 AM,76
3/11/2022 8:00:00 AM,64
3/11/2022 9:00:00 AM,64
3/11/2022 10:00:00 AM,64
3/11/2022 11:00:00 AM,64
3/11/2022 12:00:00 PM,64
3/11/2022 1:00:00 PM,64
3/11/2022 2:00:00 PM,64
3/11/2022 3:00:00 PM,64
3/11/2022 4:00:00 PM,64
3/11/2022 5:00:00 PM,65
3/11/2022 6:00:00 PM,64
3/11/2022 7:00:00 PM,68
3/11/2022 8:00:00 PM,69
3/11/2022 9:00:00 PM,511
3/11/2022 10:00:00 PM,359
3/11/2022 11:00:00 PM,89
3/12/2022 12:00:00 AM,64
3/12/2022 1:00:00 AM,64
3/12/2022 2:00:00 AM,64
3/12/2022 3:00:00 AM,64
3/12/2022 4:00:00 AM,64
3/12/2022 5:00:00 AM,64
3/12/2022 6:00:00 AM,64
3/12/2022 7:00:00 AM,183
3/12/2022 8:00:00 AM,255
3/12/2022 9:00:00 AM,256
3/12/2022 10:00:00 AM,232
3/12/2022 11:00:00 AM,149
3/12/2022 12:00:00 PM,111
3/12/2022 1:00:00 PM,107
3/12/2022 2:00:00 PM,130
3/12/2022 3:00:00 PM,188
3/12/2022 4:00:00 PM,150
3/12/2022 5:00:00 PM,119
3/12/2022 6:00:00 PM,136
3/12/2022 7:00:00 PM,178
3/12/2022 8:00:00 PM,102
3/12/2022 9:00:00 PM,134
3/12/2022 10:00:00 PM,133
3/12/2022 11:00:00 PM,70
3/13/2022 12:00:00 AM,66
3/13/2022 1:00:00 AM,66
3/13/2022 2:00:00 AM,112
3/13/2022 3:00:00 AM,64
3/13/2022 4:00:00 AM,82
3/13/2022 5:00:00 AM,68
3/13/2022 6:00:00 AM,64
3/13/2022 7:00:00 AM,64
3/13/2022 8:00:00 AM,64
3/13/2022 9:00:00 AM,89
3/13/2022 10:00:00 AM,197
3/13/2022 11:00:00 AM,147
3/13/2022 12:00:00 PM,91
3/13/2022 1:00:00 PM,93
3/13/2022 2:00:00 PM,153
3/13/2022 3:00:00 PM,65
3/13/2022 4:00:00 PM,135
3/13/2022 5:00:00 PM,172
3/13/2022 6:00:00 PM,90
3/13/2022 7:00:00 PM,76
3/13/2022 8:00:00 PM,142
3/13/2022 9:00:00 PM,132
3/13/2022 10:00:00 PM,75
3/13/2022 11:00:00 PM,64
3/14/2022 12:00:00 AM,64
3/14/2022 1:00:00 AM,64
3/14/2022 2:00:00 AM,64
3/14/2022 3:00:00 AM,64
3/14/2022 4:00:00 AM,124
3/14/2022 5:00:00 AM,65
3/14/2022 6:00:00 AM,104
3/14/2022 7:00:00 AM,116
3/14/2022 8:00:00 AM,264
3/14/2022 9:00:00 AM,206
3/14/2022 10:00:00 AM,139
3/14/2022 11:00:00 AM,88
3/14/2022 12:00:00 PM,170
3/14/2022 1:00:00 PM,110
3/14/2022 2:00:00 PM,80
3/14/2022 3:00:00 PM,72
3/14/2022 4:00:00 PM,80
3/14/2022 5:00:00 PM,84
3/14/2022 6:00:00 PM,121
3/14/2022 7:00:00 PM,104
3/14/2022 8:00:00 PM,107
3/14/2022 9:00:00 PM,181
3/14/2022 10:00:00 PM,75
3/14/2022 11:00:00 PM,64
3/15/2022 12:00:00 AM,64
3/15/2022 1:00:00 AM,64
3/15/2022 2:00:00 AM,64
3/15/2022 3:00:00 AM,64
3/15/2022 4:00:00 AM,64
3/15/2022 5:00:00 AM,64
3/15/2022 6:00:00 AM,64
3/15/2022 7:00:00 AM,126
3/15/2022 8:00:00 AM,252
3/15/2022 9:00:00 AM,175
3/15/2022 10:00:00 AM,201
3/15/2022 11:00:00 AM,72
3/15/2022 12:00:00 PM,129
3/15/2022 1:00:00 PM,65
3/15/2022 2:00:00 PM,91
3/15/2022 3:00:00 PM,111
3/15/2022 4:00:00 PM,253
3/15/2022 5:00:00 PM,249
3/15/2022 6:00:00 PM,237
3/15/2022 7:00:00 PM,106
3/15/2022 8:00:00 PM,110
3/15/2022 9:00:00 PM,150
3/15/2022 10:00:00 PM,74
3/15/2022 11:00:00 PM,73
3/16/2022 12:00:00 AM,64
3/16/2022 1:00:00 AM,64
3/16/2022 2:00:00 AM,64
3/16/2022 3:00:00 AM,64
3/16/2022 4:00:00 AM,64
3/16/2022 5:00:00 AM,66
3/16/2022 6:00:00 AM,109
3/16/2022 7:00:00 AM,180
3/16/2022 8:00:00 AM,226
3/16/2022 9:00:00 AM,181
3/16/2022 10:00:00 AM,318
3/16/2022 11:00:00 AM,181
3/16/2022 12:00:00 PM,251
3/16/2022 1:00:00 PM,203
3/16/2022 2:00:00 PM,248
3/16/2022 3:00:00 PM,81
3/16/2022 4:00:00 PM,225
3/16/2022 5:00:00 PM,245
3/16/2022 6:00:00 PM,163
3/16/2022 7:00:00 PM,96
3/16/2022 8:00:00 PM,79
3/16/2022 9:00:00 PM,114
3/16/2022 10:00:00 PM,123
3/16/2022 11:00:00 PM,90
3/17/2022 12:00:00 AM,101
3/17/2022 1:00:00 AM,85
3/17/2022 2:00:00 AM,65
3/17/2022 3:00:00 AM,65
3/17/2022 4:00:00 AM,65
3/17/2022 5:00:00 AM,64
3/17/2022 6:00:00 AM,102
3/17/2022 7:00:00 AM,122
3/17/2022 8:00:00 AM,209
3/17/2022 9:00:00 AM,117
3/17/2022 10:00:00 AM,76
3/17/2022 11:00:00 AM,80
3/17/2022 12:00:00 PM,64
3/17/2022 1:00:00 PM,64
3/17/2022 2:00:00 PM,141
3/17/2022 3:00:00 PM,141
3/17/2022 4:00:00 PM,237
3/17/2022 5:00:00 PM,294
3/17/2022 6:00:00 PM,163
3/17/2022 7:00:00 PM,187
3/17/2022 8:00:00 PM,122
3/17/2022 9:00:00 PM,79
3/17/2022 10:00:00 PM,74
3/17/2022 11:00:00 PM,82
3/18/2022 12:00:00 AM,79
3/18/2022 1:00:00 AM,112
3/18/2022 2:00:00 AM,69
3/18/2022 3:00:00 AM,64
3/18/2022 4:00:00 AM,66
3/18/2022 5:00:00 AM,73
3/18/2022 6:00:00 AM,80
3/18/2022 7:00:00 AM,249
3/18/2022 8:00:00 AM,268
3/18/2022 9:00:00 AM,216
3/18/2022 10:00:00 AM,257
3/18/2022 11:00:00 AM,216
3/18/2022 12:00:00 PM,126
3/18/2022 1:00:00 PM,121
3/18/2022 2:00:00 PM,114
3/18/2022 3:00:00 PM,71
3/18/2022 4:00:00 PM,66
3/18/2022 5:00:00 PM,198
3/18/2022 6:00:00 PM,126
3/18/2022 7:00:00 PM,240
3/18/2022 8:00:00 PM,100
3/18/2022 9:00:00 PM,128
3/18/2022 10:00:00 PM,64
3/18/2022 11:00:00 PM,72
3/19/2022 12:00:00 AM,67
3/19/2022 1:00:00 AM,67
3/19/2022 2:00:00 AM,66
3/19/2022 3:00:00 AM,65
3/19/2022 4:00:00 AM,66
3/19/2022 5:00:00 AM,64
3/19/2022 6:00:00 AM,111
3/19/2022 7:00:00 AM,64
3/19/2022 8:00:00 AM,64
3/19/2022 9:00:00 AM,65
3/19/2022 10:00:00 AM,65
3/19/2022 11:00:00 AM,64
3/19/2022 12:00:00 PM,69
3/19/2022 1:00:00 PM,64
3/19/2022 2:00:00 PM,64
3/19/2022 3:00:00 PM,64
3/19/2022 4:00:00 PM,72
3/19/2022 5:00:00 PM,68
3/19/2022 6:00:00 PM,141
3/19/2022 7:00:00 PM,100
3/19/2022 8:00:00 PM,111
3/19/2022 9:00:00 PM,75
3/19/2022 10:00:00 PM,65
3/19/2022 11:00:00 PM,64
3/20/2022 12:00:00 AM,64
3/20/2022 1:00:00 AM,64
3/20/2022 2:00:00 AM,64
3/20/2022 3:00:00 AM,64
3/20/2022 4:00:00 AM,74
