ActivityHour,TotalIntensity,AverageIntensity
2/24/2022 12:00:00 AM,0,0
2/24/2022 1:00:00 AM,0,0
2/24/2022 2:00:00 AM,0,0
2/24/2022 3:00:00 AM,0,0
2/24/2022 4:00:00 AM,0,0
2/24/2022 5:00:00 AM,0,0
2/24/2022 6:00:00 AM,0,0
2/24/2022 7:00:00 AM,0,0
2/24/2022 8:00:00 AM,0,0
2/24/2022 9:00:00 AM,0,0
2/24/2022 10:00:00 AM,0,0
2/24/2022 11:00:00 AM,0,0
2/24/2022 12:00:00 PM,0,0
2/24/2022 1:00:00 PM,0,0
2/24/2022 2:00:00 PM,0,0
2/24/2022 3:00:00 PM,0,0
2/24/2022 4:00:00 PM,0,0
2/24/2022 5:00:00 PM,0,0
2/24/2022 6:00:00 PM,0,0
2/24/2022 7:00:00 PM,0,0
2/24/2022 8:00:00 PM,0,0
2/24/2022 9:00:00 PM,0,0
2/24/2022 10:00:00 PM,0,0
2/24/2022 11:00:00 PM,0,0
2/25/2022 12:00:00 AM,0,0
2/25/2022 1:00:00 AM,0,0
2/25/2022 2:00:00 AM,0,0
2/25/2022 3:00:00 AM,0,0
2/25/2022 4:00:00 AM,0,0
2/25/2022 5:00:00 AM,0,0
2/25/2022 6:00:00 AM,0,0
2/25/2022 7:00:00 AM,0,0
2/25/2022 8:00:00 AM,0,0
2/25/2022 9:00:00 AM,0,0
2/25/2022 10:00:00 AM,0,0
2/25/2022 11:00:00 AM,0,0
2/25/2022 12:00:00 PM,0,0
2/25/2022 1:00:00 PM,0,0
2/25/2022 2:00:00 PM,0,0
2/25/2022 3:00:00 PM,0,0
2/25/2022 4:00:00 PM,0,0
2/25/2022 5:00:00 PM,44,0.733333
2/25/2022 6:00:00 PM,29,0.483333
2/25/2022 7:00:00 PM,44,0.733333
2/25/2022 8:00:00 PM,48,0.8
2/25/2022 9:00:00 PM,49,0.816667
2/25/2022 10:00:00 PM,5,0.083333
2/25/2022 11:00:00 PM,0,0
2/26/2022 12:00:00 AM,0,0
2/26/2022 1:00:00 AM,0,0
