ActivityDay,Calories
7/5/2023,2226
7/6/2023,2374
7/7/2023,1730
7/8/2023,1653
7/9/2023,1922
7/10/2023,2575
7/11/2023,2188
7/12/2023,1743
7/13/2023,2199
7/14/2023,2075
7/15/2023,1839
7/16/2023,1682
7/17/2023,1731
7/18/2023,1805
7/19/2023,1722
7/20/2023,1750
7/21/2023,1762
7/22/2023,1723
7/23/2023,1810
7/24/2023,2278
7/25/2023,2423
7/26/2023,2736
7/27/2023,1654
7/28/2023,1654
7/29/2023,1676
7/30/2023,2511
7/31/2023,2397
8/1/2023,2737
8/2/2023,2919
8/3/2023,2658
8/4/2023,2601
8/5/2023,2458
8/6/2023,2145
8/7/2023,2714
8/8/2023,2685
8/9/2023,2598
8/10/2023,2562
8/11/2023,2566
8/12/2023,2723
8/13/2023,2186
8/14/2023,2658
8/15/2023,3123
8/16/2023,2085
8/17/2023,2657
8/18/2023,2602
8/19/2023,2548
8/20/2023,2199
8/21/2023,2503
8/22/2023,2019
8/23/2023,1653
