ActivityDay,StepTotal
2/23/2023,11355
2/24/2023,7348
2/25/2023,8029
2/26/2023,9421
2/27/2023,13679
2/28/2023,13043
3/1/2023,17975
3/2/2023,16034
3/3/2023,22113
3/4/2023,14367
3/5/2023,10281
3/6/2023,7624
3/7/2023,21098
3/8/2023,17734
3/9/2023,11059
3/10/2023,18780
3/11/2023,20314
3/12/2023,8451
3/13/2023,14319
3/14/2023,20225
3/15/2023,16823
3/16/2023,11037
3/17/2023,12456
3/18/2023,22552
3/19/2023,10471
3/20/2023,11773
3/21/2023,17889
3/22/2023,15017
3/23/2023,17408
3/24/2023,13749
3/25/2023,16206
3/26/2023,3363
3/27/2023,23568
3/28/2023,17352
3/29/2023,12992
3/30/2023,6276
3/31/2023,12597
4/1/2023,13168
4/2/2023,3106
4/3/2023,6202
4/4/2023,0
4/5/2023,6345
4/6/2023,5938
4/7/2023,16
4/8/2023,3032
4/9/2023,0
