ActivityHour,TotalIntensity,AverageIntensity
7/5/2023 12:00:00 AM,0,0
7/5/2023 1:00:00 AM,0,0
7/5/2023 2:00:00 AM,0,0
7/5/2023 3:00:00 AM,0,0
7/5/2023 4:00:00 AM,0,0
7/5/2023 5:00:00 AM,0,0
7/5/2023 6:00:00 AM,0,0
7/5/2023 7:00:00 AM,0,0
7/5/2023 8:00:00 AM,0,0
7/5/2023 9:00:00 AM,0,0
7/5/2023 10:00:00 AM,0,0
7/5/2023 11:00:00 AM,40,0.666667
7/5/2023 12:00:00 PM,22,0.366667
7/5/2023 1:00:00 PM,5,0.083333
7/5/2023 2:00:00 PM,15,0.25
7/5/2023 3:00:00 PM,15,0.25
7/5/2023 4:00:00 PM,2,0.033333
7/5/2023 5:00:00 PM,13,0.216667
7/5/2023 6:00:00 PM,10,0.166667
7/5/2023 7:00:00 PM,29,0.483333
7/5/2023 8:00:00 PM,16,0.266667
7/5/2023 9:00:00 PM,27,0.45
7/5/2023 10:00:00 PM,12,0.2
7/5/2023 11:00:00 PM,21,0.35
7/6/2023 12:00:00 AM,2,0.033333
7/6/2023 1:00:00 AM,3,0.05
7/6/2023 2:00:00 AM,0,0
7/6/2023 3:00:00 AM,1,0.016667
7/6/2023 4:00:00 AM,12,0.2
7/6/2023 5:00:00 AM,21,0.35
7/6/2023 6:00:00 AM,24,0.4
7/6/2023 7:00:00 AM,16,0.266667
7/6/2023 8:00:00 AM,9,0.15
7/6/2023 9:00:00 AM,10,0.166667
7/6/2023 10:00:00 AM,0,0
7/6/2023 11:00:00 AM,15,0.25
7/6/2023 12:00:00 PM,9,0.15
7/6/2023 1:00:00 PM,27,0.45
7/6/2023 2:00:00 PM,13,0.216667
7/6/2023 3:00:00 PM,20,0.333333
7/6/2023 4:00:00 PM,14,0.233333
7/6/2023 5:00:00 PM,18,0.3
7/6/2023 6:00:00 PM,20,0.333333
7/6/2023 7:00:00 PM,40,0.666667
7/6/2023 8:00:00 PM,1,0.016667
7/6/2023 9:00:00 PM,0,0
7/6/2023 10:00:00 PM,15,0.25
7/6/2023 11:00:00 PM,1,0.016667
7/7/2023 12:00:00 AM,0,0
7/7/2023 1:00:00 AM,0,0
7/7/2023 2:00:00 AM,0,0
7/7/2023 3:00:00 AM,0,0
7/7/2023 4:00:00 AM,0,0
7/7/2023 5:00:00 AM,0,0
7/7/2023 6:00:00 AM,0,0
7/7/2023 7:00:00 AM,0,0
7/7/2023 8:00:00 AM,0,0
7/7/2023 9:00:00 AM,10,0.166667
7/7/2023 10:00:00 AM,19,0.316667
7/7/2023 11:00:00 AM,0,0
7/7/2023 12:00:00 PM,0,0
7/7/2023 1:00:00 PM,0,0
7/7/2023 2:00:00 PM,0,0
7/7/2023 3:00:00 PM,0,0
7/7/2023 4:00:00 PM,0,0
7/7/2023 5:00:00 PM,0,0
7/7/2023 6:00:00 PM,0,0
7/7/2023 7:00:00 PM,0,0
7/7/2023 8:00:00 PM,0,0
7/7/2023 9:00:00 PM,0,0
7/7/2023 10:00:00 PM,0,0
7/7/2023 11:00:00 PM,0,0
7/8/2023 12:00:00 AM,0,0
7/8/2023 1:00:00 AM,0,0
7/8/2023 2:00:00 AM,0,0
7/8/2023 3:00:00 AM,0,0
7/8/2023 4:00:00 AM,0,0
7/8/2023 5:00:00 AM,0,0
7/8/2023 6:00:00 AM,0,0
7/8/2023 7:00:00 AM,0,0
7/8/2023 8:00:00 AM,0,0
7/8/2023 9:00:00 AM,0,0
7/8/2023 10:00:00 AM,0,0
7/8/2023 11:00:00 AM,0,0
7/8/2023 12:00:00 PM,0,0
7/8/2023 1:00:00 PM,0,0
7/8/2023 2:00:00 PM,0,0
7/8/2023 3:00:00 PM,0,0
7/8/2023 4:00:00 PM,0,0
7/8/2023 5:00:00 PM,0,0
7/8/2023 6:00:00 PM,0,0
7/8/2023 7:00:00 PM,0,0
7/8/2023 8:00:00 PM,0,0
7/8/2023 9:00:00 PM,0,0
7/8/2023 10:00:00 PM,0,0
7/8/2023 11:00:00 PM,0,0
7/9/2023 12:00:00 AM,0,0
7/9/2023 1:00:00 AM,0,0
7/9/2023 2:00:00 AM,0,0
7/9/2023 3:00:00 AM,0,0
7/9/2023 4:00:00 AM,0,0
7/9/2023 5:00:00 AM,0,0
7/9/2023 6:00:00 AM,0,0
7/9/2023 7:00:00 AM,0,0
7/9/2023 8:00:00 AM,0,0
7/9/2023 9:00:00 AM,0,0
7/9/2023 10:00:00 AM,7,0.116667
7/9/2023 11:00:00 AM,7,0.116667
7/9/2023 12:00:00 PM,32,0.533333
7/9/2023 1:00:00 PM,8,0.133333
7/9/2023 2:00:00 PM,12,0.2
7/9/2023 3:00:00 PM,11,0.183333
7/9/2023 4:00:00 PM,11,0.183333
7/9/2023 5:00:00 PM,17,0.283333
7/9/2023 6:00:00 PM,2,0.033333
7/9/2023 7:00:00 PM,2,0.033333
7/9/2023 8:00:00 PM,0,0
7/9/2023 9:00:00 PM,0,0
7/9/2023 10:00:00 PM,0,0
7/9/2023 11:00:00 PM,0,0
7/10/2023 12:00:00 AM,0,0
7/10/2023 1:00:00 AM,0,0
7/10/2023 2:00:00 AM,0,0
7/10/2023 3:00:00 AM,0,0
7/10/2023 4:00:00 AM,0,0
7/10/2023 5:00:00 AM,0,0
7/10/2023 6:00:00 AM,0,0
7/10/2023 7:00:00 AM,8,0.133333
7/10/2023 8:00:00 AM,25,0.416667
7/10/2023 9:00:00 AM,17,0.283333
7/10/2023 10:00:00 AM,13,0.216667
7/10/2023 11:00:00 AM,17,0.283333
7/10/2023 12:00:00 PM,9,0.15
7/10/2023 1:00:00 PM,28,0.466667
7/10/2023 2:00:00 PM,1,0.016667
7/10/2023 3:00:00 PM,25,0.416667
7/10/2023 4:00:00 PM,27,0.45
7/10/2023 5:00:00 PM,41,0.683333
7/10/2023 6:00:00 PM,12,0.2
7/10/2023 7:00:00 PM,25,0.416667
7/10/2023 8:00:00 PM,6,0.1
7/10/2023 9:00:00 PM,6,0.1
7/10/2023 10:00:00 PM,15,0.25
7/10/2023 11:00:00 PM,5,0.083333
7/11/2023 12:00:00 AM,0,0
7/11/2023 1:00:00 AM,0,0
7/11/2023 2:00:00 AM,0,0
7/11/2023 3:00:00 AM,0,0
7/11/2023 4:00:00 AM,0,0
7/11/2023 5:00:00 AM,0,0
7/11/2023 6:00:00 AM,0,0
7/11/2023 7:00:00 AM,23,0.383333
7/11/2023 8:00:00 AM,22,0.366667
7/11/2023 9:00:00 AM,4,0.066667
7/11/2023 10:00:00 AM,17,0.283333
7/11/2023 11:00:00 AM,18,0.3
7/11/2023 12:00:00 PM,30,0.5
7/11/2023 1:00:00 PM,31,0.516667
7/11/2023 2:00:00 PM,34,0.566667
7/11/2023 3:00:00 PM,5,0.083333
7/11/2023 4:00:00 PM,0,0
7/11/2023 5:00:00 PM,0,0
7/11/2023 6:00:00 PM,0,0
7/11/2023 7:00:00 PM,0,0
7/11/2023 8:00:00 PM,0,0
7/11/2023 9:00:00 PM,0,0
7/11/2023 10:00:00 PM,0,0
7/11/2023 11:00:00 PM,0,0
7/12/2023 12:00:00 AM,0,0
7/12/2023 1:00:00 AM,0,0
7/12/2023 2:00:00 AM,0,0
7/12/2023 3:00:00 AM,0,0
7/12/2023 4:00:00 AM,0,0
7/12/2023 5:00:00 AM,0,0
7/12/2023 6:00:00 AM,0,0
7/12/2023 7:00:00 AM,0,0
7/12/2023 8:00:00 AM,0,0
7/12/2023 9:00:00 AM,0,0
7/12/2023 10:00:00 AM,0,0
7/12/2023 11:00:00 AM,0,0
7/12/2023 12:00:00 PM,0,0
7/12/2023 1:00:00 PM,0,0
7/12/2023 2:00:00 PM,0,0
7/12/2023 3:00:00 PM,0,0
7/12/2023 4:00:00 PM,0,0
7/12/2023 5:00:00 PM,0,0
7/12/2023 6:00:00 PM,0,0
7/12/2023 7:00:00 PM,7,0.116667
7/12/2023 8:00:00 PM,22,0.366667
7/12/2023 9:00:00 PM,1,0.016667
7/12/2023 10:00:00 PM,1,0.016667
7/12/2023 11:00:00 PM,0,0
7/13/2023 12:00:00 AM,0,0
7/13/2023 1:00:00 AM,0,0
7/13/2023 2:00:00 AM,0,0
7/13/2023 3:00:00 AM,0,0
7/13/2023 4:00:00 AM,0,0
7/13/2023 5:00:00 AM,0,0
7/13/2023 6:00:00 AM,0,0
7/13/2023 7:00:00 AM,0,0
