ActivityHour,StepTotal
1/19/2023 12:00:00 AM,0
1/19/2023 1:00:00 AM,0
1/19/2023 2:00:00 AM,0
1/19/2023 3:00:00 AM,0
1/19/2023 4:00:00 AM,0
1/19/2023 5:00:00 AM,0
1/19/2023 6:00:00 AM,0
1/19/2023 7:00:00 AM,0
1/19/2023 8:00:00 AM,0
1/19/2023 9:00:00 AM,0
1/19/2023 10:00:00 AM,0
1/19/2023 11:00:00 AM,1538
1/19/2023 12:00:00 PM,925
1/19/2023 1:00:00 PM,23
1/19/2023 2:00:00 PM,843
1/19/2023 3:00:00 PM,147
1/19/2023 4:00:00 PM,215
1/19/2023 5:00:00 PM,431
1/19/2023 6:00:00 PM,606
1/19/2023 7:00:00 PM,566
1/19/2023 8:00:00 PM,456
1/19/2023 9:00:00 PM,285
1/19/2023 10:00:00 PM,275
1/19/2023 11:00:00 PM,226
1/20/2023 12:00:00 AM,251
1/20/2023 1:00:00 AM,283
1/20/2023 2:00:00 AM,0
1/20/2023 3:00:00 AM,68
1/20/2023 4:00:00 AM,0
1/20/2023 5:00:00 AM,0
1/20/2023 6:00:00 AM,7
1/20/2023 7:00:00 AM,92
1/20/2023 8:00:00 AM,313
1/20/2023 9:00:00 AM,847
1/20/2023 10:00:00 AM,788
1/20/2023 11:00:00 AM,256
1/20/2023 12:00:00 PM,198
1/20/2023 1:00:00 PM,856
1/20/2023 2:00:00 PM,1648
1/20/2023 3:00:00 PM,1230
1/20/2023 4:00:00 PM,737
1/20/2023 5:00:00 PM,420
1/20/2023 6:00:00 PM,364
1/20/2023 7:00:00 PM,1070
1/20/2023 8:00:00 PM,442
1/20/2023 9:00:00 PM,714
1/20/2023 10:00:00 PM,1164
1/20/2023 11:00:00 PM,89
1/21/2023 12:00:00 AM,668
1/21/2023 1:00:00 AM,26
1/21/2023 2:00:00 AM,0
1/21/2023 3:00:00 AM,39
1/21/2023 4:00:00 AM,0
1/21/2023 5:00:00 AM,6
1/21/2023 6:00:00 AM,0
1/21/2023 7:00:00 AM,625
1/21/2023 8:00:00 AM,345
1/21/2023 9:00:00 AM,107
1/21/2023 10:00:00 AM,1135
1/21/2023 11:00:00 AM,22
1/21/2023 12:00:00 PM,88
1/21/2023 1:00:00 PM,473
1/21/2023 2:00:00 PM,783
1/21/2023 3:00:00 PM,180
1/21/2023 4:00:00 PM,88
1/21/2023 5:00:00 PM,53
1/21/2023 6:00:00 PM,648
1/21/2023 7:00:00 PM,984
1/21/2023 8:00:00 PM,231
1/21/2023 9:00:00 PM,298
1/21/2023 10:00:00 PM,419
1/21/2023 11:00:00 PM,324
1/22/2023 12:00:00 AM,626
1/22/2023 1:00:00 AM,553
1/22/2023 2:00:00 AM,140
1/22/2023 3:00:00 AM,7
1/22/2023 4:00:00 AM,0
1/22/2023 5:00:00 AM,0
1/22/2023 6:00:00 AM,58
1/22/2023 7:00:00 AM,0
1/22/2023 8:00:00 AM,9
1/22/2023 9:00:00 AM,278
1/22/2023 10:00:00 AM,497
1/22/2023 11:00:00 AM,912
1/22/2023 12:00:00 PM,1144
1/22/2023 1:00:00 PM,647
1/22/2023 2:00:00 PM,539
1/22/2023 3:00:00 PM,36
1/22/2023 4:00:00 PM,687
1/22/2023 5:00:00 PM,33
1/22/2023 6:00:00 PM,838
1/22/2023 7:00:00 PM,1401
1/22/2023 8:00:00 PM,888
1/22/2023 9:00:00 PM,367
1/22/2023 10:00:00 PM,317
1/22/2023 11:00:00 PM,494
1/23/2023 12:00:00 AM,499
1/23/2023 1:00:00 AM,0
1/23/2023 2:00:00 AM,0
1/23/2023 3:00:00 AM,59
1/23/2023 4:00:00 AM,0
1/23/2023 5:00:00 AM,11
1/23/2023 6:00:00 AM,0
1/23/2023 7:00:00 AM,48
1/23/2023 8:00:00 AM,0
1/23/2023 9:00:00 AM,629
1/23/2023 10:00:00 AM,839
1/23/2023 11:00:00 AM,334
1/23/2023 12:00:00 PM,1137
1/23/2023 1:00:00 PM,267
1/23/2023 2:00:00 PM,361
1/23/2023 3:00:00 PM,175
1/23/2023 4:00:00 PM,411
1/23/2023 5:00:00 PM,959
1/23/2023 6:00:00 PM,922
1/23/2023 7:00:00 PM,718
1/23/2023 8:00:00 PM,228
1/23/2023 9:00:00 PM,589
1/23/2023 10:00:00 PM,495
1/23/2023 11:00:00 PM,553
1/24/2023 12:00:00 AM,448
1/24/2023 1:00:00 AM,0
1/24/2023 2:00:00 AM,0
1/24/2023 3:00:00 AM,46
1/24/2023 4:00:00 AM,43
1/24/2023 5:00:00 AM,0
1/24/2023 6:00:00 AM,0
1/24/2023 7:00:00 AM,373
1/24/2023 8:00:00 AM,862
1/24/2023 9:00:00 AM,15
1/24/2023 10:00:00 AM,7
1/24/2023 11:00:00 AM,544
1/24/2023 12:00:00 PM,1045
1/24/2023 1:00:00 PM,12
1/24/2023 2:00:00 PM,452
1/24/2023 3:00:00 PM,593
1/24/2023 4:00:00 PM,14
1/24/2023 5:00:00 PM,0
1/24/2023 6:00:00 PM,830
1/24/2023 7:00:00 PM,995
1/24/2023 8:00:00 PM,158
1/24/2023 9:00:00 PM,380
1/24/2023 10:00:00 PM,273
1/24/2023 11:00:00 PM,299
1/25/2023 12:00:00 AM,1014
1/25/2023 1:00:00 AM,10
1/25/2023 2:00:00 AM,7
1/25/2023 3:00:00 AM,11
1/25/2023 4:00:00 AM,57
1/25/2023 5:00:00 AM,9
1/25/2023 6:00:00 AM,7
1/25/2023 7:00:00 AM,397
1/25/2023 8:00:00 AM,918
1/25/2023 9:00:00 AM,13
1/25/2023 10:00:00 AM,35
1/25/2023 11:00:00 AM,44
1/25/2023 12:00:00 PM,225
1/25/2023 1:00:00 PM,431
1/25/2023 2:00:00 PM,1082
1/25/2023 3:00:00 PM,152
1/25/2023 4:00:00 PM,19
1/25/2023 5:00:00 PM,300
1/25/2023 6:00:00 PM,553
1/25/2023 7:00:00 PM,313
1/25/2023 8:00:00 PM,211
1/25/2023 9:00:00 PM,52
1/25/2023 10:00:00 PM,303
1/25/2023 11:00:00 PM,376
1/26/2023 12:00:00 AM,653
1/26/2023 1:00:00 AM,10
1/26/2023 2:00:00 AM,0
1/26/2023 3:00:00 AM,63
1/26/2023 4:00:00 AM,0
1/26/2023 5:00:00 AM,0
1/26/2023 6:00:00 AM,14
1/26/2023 7:00:00 AM,568
1/26/2023 8:00:00 AM,1169
1/26/2023 9:00:00 AM,172
1/26/2023 10:00:00 AM,681
