ActivityHour,StepTotal
2/24/2022 12:00:00 AM,0
2/24/2022 1:00:00 AM,0
2/24/2022 2:00:00 AM,0
2/24/2022 3:00:00 AM,0
2/24/2022 4:00:00 AM,0
2/24/2022 5:00:00 AM,0
2/24/2022 6:00:00 AM,0
2/24/2022 7:00:00 AM,0
2/24/2022 8:00:00 AM,0
2/24/2022 9:00:00 AM,0
2/24/2022 10:00:00 AM,0
2/24/2022 11:00:00 AM,0
2/24/2022 12:00:00 PM,0
2/24/2022 1:00:00 PM,0
2/24/2022 2:00:00 PM,0
2/24/2022 3:00:00 PM,0
2/24/2022 4:00:00 PM,0
2/24/2022 5:00:00 PM,0
2/24/2022 6:00:00 PM,0
2/24/2022 7:00:00 PM,0
2/24/2022 8:00:00 PM,0
2/24/2022 9:00:00 PM,0
2/24/2022 10:00:00 PM,0
2/24/2022 11:00:00 PM,0
2/25/2022 12:00:00 AM,0
2/25/2022 1:00:00 AM,0
2/25/2022 2:00:00 AM,0
2/25/2022 3:00:00 AM,0
2/25/2022 4:00:00 AM,0
2/25/2022 5:00:00 AM,0
2/25/2022 6:00:00 AM,0
2/25/2022 7:00:00 AM,0
2/25/2022 8:00:00 AM,0
2/25/2022 9:00:00 AM,0
2/25/2022 10:00:00 AM,0
2/25/2022 11:00:00 AM,0
2/25/2022 12:00:00 PM,0
2/25/2022 1:00:00 PM,0
2/25/2022 2:00:00 PM,0
2/25/2022 3:00:00 PM,0
2/25/2022 4:00:00 PM,0
2/25/2022 5:00:00 PM,353
2/25/2022 6:00:00 PM,77
2/25/2022 7:00:00 PM,291
2/25/2022 8:00:00 PM,178
2/25/2022 9:00:00 PM,453
2/25/2022 10:00:00 PM,20
2/25/2022 11:00:00 PM,0
2/26/2022 12:00:00 AM,0
2/26/2022 1:00:00 AM,0
2/26/2022 2:00:00 AM,7
2/26/2022 3:00:00 AM,0
2/26/2022 4:00:00 AM,77
2/26/2022 5:00:00 AM,0
2/26/2022 6:00:00 AM,0
2/26/2022 7:00:00 AM,530
2/26/2022 8:00:00 AM,827
2/26/2022 9:00:00 AM,644
2/26/2022 10:00:00 AM,1003
2/26/2022 11:00:00 AM,13
2/26/2022 12:00:00 PM,17
2/26/2022 1:00:00 PM,0
2/26/2022 2:00:00 PM,87
2/26/2022 3:00:00 PM,146
2/26/2022 4:00:00 PM,481
2/26/2022 5:00:00 PM,212
2/26/2022 6:00:00 PM,20
