ActivityDay,StepTotal
11/26/2021,15420
11/27/2021,11136
11/28/2021,10957
11/29/2021,8856
11/30/2021,13952
12/1/2021,1263
12/2/2021,3151
12/3/2021,10641
12/4/2021,21838
12/5/2021,9544
12/6/2021,8239
12/7/2021,10044
12/8/2021,0
12/9/2021,0
12/10/2021,0
12/11/2021,0
12/12/2021,0
12/13/2021,0
12/14/2021,0
12/15/2021,0
12/16/2021,0
12/17/2021,0
12/18/2021,0
12/19/2021,0
12/20/2021,7104
12/21/2021,373
12/22/2021,9974
12/23/2021,706
12/24/2021,10389
12/25/2021,315
12/26/2021,14682
12/27/2021,16372
12/28/2021,8153
12/29/2021,12159
12/30/2021,3429
12/31/2021,6799
1/1/2022,8586
1/2/2022,16307
1/3/2022,8587
1/4/2022,0
1/5/2022,6367
1/6/2022,12888
1/7/2022,11608
1/8/2022,9927
1/9/2022,11387
1/10/2022,6073
1/11/2022,7841
1/12/2022,0
1/13/2022,13032
1/14/2022,992
1/15/2022,0
1/16/2022,0
1/17/2022,0
1/18/2022,6294
1/19/2022,0
1/20/2022,4902
1/21/2022,13533
1/22/2022,0
1/23/2022,9570
1/24/2022,0
1/25/2022,0
1/26/2022,5890
1/27/2022,0
1/28/2022,15532
1/29/2022,17752
1/30/2022,13028
1/31/2022,13849
2/1/2022,9027
2/2/2022,0
2/3/2022,6342
2/4/2022,18557
2/5/2022,17899
2/6/2022,13614
2/7/2022,0
2/8/2022,2982
2/9/2022,0
2/10/2022,0
2/11/2022,0
2/12/2022,0
2/13/2022,4348
2/14/2022,0
